지역명,연도,월,평당분양가격
부산,2017,11,12606.0
대구,2017,11,12071.4
광주,2017,11,9553.5
대전,2017,11,9180.6
울산,2017,11,11134.2
세종,2017,11,9108.0
강원,2017,11,7652.7
충북,2017,11,6854.099999999999
충남,2017,11,7451.4
전북,2017,11,7260.0
전남,2017,11,7883.7
경북,2017,11,7887.0
경남,2017,11,8649.3
제주,2017,11,11748.0
서울,2017,12,22129.8
인천,2017,12,10949.4
경기,2017,12,11936.1
부산,2017,12,12678.6
대구,2017,12,11751.3
광주,2017,12,9556.8
대전,2017,12,8929.8
울산,2017,12,10434.6
세종,2017,12,10431.3
강원,2017,12,7596.599999999999
충북,2017,12,6854.099999999999
충남,2017,12,7778.099999999999
전북,2017,12,7345.799999999999
전남,2017,12,7920.0
경북,2017,12,7887.0
경남,2017,12,8896.8
제주,2017,12,11807.4
서울,2018,1,21855.9
인천,2018,1,10998.9
경기,2018,1,12691.8
부산,2018,1,12678.6
대구,2018,1,11830.5
광주,2018,1,9550.2
대전,2018,1,9055.2
울산,2018,1,10434.6
세종,2018,1,10431.3
강원,2018,1,7669.2
충북,2018,1,6854.099999999999
충남,2018,1,7900.2
전북,2018,1,7345.799999999999
전남,2018,1,7920.0
경북,2018,1,8055.299999999999
경남,2018,1,8896.8
제주,2018,1,11998.8
서울,2018,2,21882.3
인천,2018,2,11028.6
경기,2018,2,12790.8
부산,2018,2,12705.0
대구,2018,2,11101.2
광주,2018,2,9550.2
대전,2018,2,9527.1
울산,2018,2,10474.2
세종,2018,2,10431.3
강원,2018,2,7665.9
충북,2018,2,7147.799999999999
충남,2018,2,7900.2
전북,2018,2,7500.9
전남,2018,2,7774.799999999999
경북,2018,2,8055.299999999999
경남,2018,2,8903.4
제주,2018,2,12635.7
서울,2018,3,22558.8
인천,2018,3,11408.1
경기,2018,3,12790.8
부산,2018,3,12596.1
대구,2018,3,11193.6
광주,2018,3,9669.0
대전,2018,3,9527.1
울산,2018,3,10474.2
세종,2018,3,10431.3
강원,2018,3,7890.299999999999
충북,2018,3,8101.5
충남,2018,3,7900.2
전북,2018,3,7467.9
전남,2018,3,7748.4
경북,2018,3,8052.0
경남,2018,3,8900.1
제주,2018,3,12952.5
서울,2018,4,22575.3
인천,2018,4,11408.1
경기,2018,4,12734.7
부산,2018,4,12747.9
대구,2018,4,11629.2
광주,2018,4,9520.5
대전,2018,4,9807.6
울산,2018,4,10474.2
세종,2018,4,10332.3
강원,2018,4,7514.099999999999
충북,2018,4,8682.3
충남,2018,4,7900.2
전북,2018,4,7646.099999999999
전남,2018,4,7771.5
경북,2018,4,8052.0
경남,2018,4,8877.0
제주,2018,4,12952.5
서울,2018,5,22832.7
인천,2018,5,11338.8
경기,2018,5,13157.1
부산,2018,5,12714.9
대구,2018,5,12048.3
광주,2018,5,9589.8
대전,2018,5,9807.6
울산,2018,5,10474.2
세종,2018,5,10332.3
강원,2018,5,7553.7
충북,2018,5,8698.8
