지역명,전용면적,연도,월,평당분양가격
울산,모든면적,2024,2,16724.399999999998
세종,60m²~85m²,2020,8,
세종,102m²~,2016,4,8956.199999999999
경남,60m²~85m²,2024,5,14965.5
전북,102m²~,2017,11,8055.299999999999
전남,60m²~85m²,2021,2,10078.2
세종,102m²~,2021,7,11856.9
경남,60m²,2020,11,10127.7
강원,모든면적,2018,4,7514.099999999999
대구,60m²,2023,11,
경남,모든면적,2020,7,10276.2
경남,85m²~102m²,2016,11,9477.6
전남,모든면적,2018,8,7778.099999999999
대전,60m²~85m²,2018,4,9824.1
광주,102m²~,2016,5,11609.4
전남,85m²~102m²,2017,3,7850.7
경남,모든면적,2023,4,11936.1
충남,60m²~85m²,2016,4,7128.0
인천,60m²~85m²,2021,10,14124.0
경기,모든면적,2017,9,11972.4
울산,60m²~85m²,2019,2,
경남,60m²,2016,4,7962.9
전북,85m²~102m²,2017,9,
울산,모든면적,2021,9,14199.9
세종,60m²,2022,4,10523.7
대구,102m²~,2021,5,16483.5
인천,102m²~,2019,6,15866.4
경기,85m²~102m²,2018,3,14091.0
울산,85m²~102m²,2024,6,20981.4
제주,60m²~85m²,2019,1,11563.2
세종,60m²~85m²,2017,2,8929.8
전남,60m²~85m²,2022,1,9820.8
인천,85m²~102m²,2019,7,12450.9
충남,모든면적,2019,5,8916.6
전남,60m²,2016,1,6596.7
서울,102m²~,2020,4,30993.6
세종,102m²~,2023,6,
광주,85m²~102m²,2016,5,9088.2
전북,60m²,2018,11,8797.8
경기,85m²~102m²,2019,5,16668.3
강원,60m²~85m²,2017,5,6877.2
충남,60m²,2023,5,12493.8
울산,60m²,2023,3,19912.2
충남,85m²~102m²,2016,5,8428.199999999999
경북,85m²~102m²,2017,4,8877.0
전남,60m²,2019,7,7804.5
제주,모든면적,2024,1,25743.3
세종,60m²~85m²,2018,1,10441.2
경북,모든면적,2022,5,11738.1
경남,60m²~85m²,2020,4,10424.7
울산,60m²,2021,10,16044.6
광주,60m²~85m²,2020,7,12681.9
세종,60m²~85m²,2022,11,10586.4
광주,85m²~102m²,2021,10,
전남,102m²~,2018,2,7979.4
충남,60m²,2017,3,7705.5
부산,85m²~102m²,2022,1,19555.8
광주,85m²~102m²,2016,6,9088.2
