iter	Passed	Remaining
894	2777	325
895	2780	322
896	2783	319
897	2785	316
898	2788	313
899	2791	310
900	2794	307
901	2798	304
902	2801	300
903	2804	297
904	2807	294
905	2810	291
906	2813	288
907	2816	285
908	2819	282
909	2821	279
910	2824	275
911	2827	272
912	2831	269
913	2833	266
914	2836	263
915	2839	260
916	2841	257
917	2845	254
918	2848	251
919	2850	247
920	2853	244
921	2855	241
922	2858	238
923	2862	235
924	2864	232
925	2867	229
926	2870	226
927	2872	222
928	2875	219
929	2878	216
930	2881	213
931	2883	210
932	2886	207
933	2889	204
934	2893	201
935	2896	198
936	2899	194
937	2901	191
938	2904	188
939	2907	185
940	2910	182
941	2913	179
942	2916	176
943	2918	173
944	2921	170
945	2925	166
946	2928	163
947	2931	160
948	2933	157
949	2936	154
950	2939	151
951	2942	148
952	2945	145
953	2948	142
954	2951	139
955	2953	135
956	2957	132
957	2960	129
958	2963	126
959	2966	123
960	2968	120
961	2971	117
962	2974	114
963	2977	111
964	2979	108
965	2982	104
966	2985	101
967	2988	98
968	2992	95
969	2995	92
970	2997	89
971	3000	86
972	3003	83
973	3006	80
974	3009	77
975	3012	74
976	3015	70
977	3018	67
978	3022	64
979	3025	61
980	3027	58
981	3030	55
982	3033	52
983	3036	49
984	3039	46
985	3042	43
986	3044	40
987	3047	37
988	3050	33
989	3054	30
990	3056	27
991	3059	24
992	3062	21
993	3064	18
994	3067	15
995	3070	12
996	3073	9
997	3075	6
998	3078	3
999	3081	0
